idCarta,nombreCarta,Imagen,Removal,Tempo Value,Good?,Control Value,textoCarta,costeCarta,baneada,numeroTesoro,valorAtaque,valorDefensa,porcentajeProbabilidad,flavorCarta,urlImagen,urlImagen1,urlImagen2,urlImagen3,urlImagen4,urlImagen5,urlImagen6,urlImagen7,urlImagen8,urlImagen9,urlImagen10,rulingCarta,expansion,tipo,tipo2,subtipo,subtipo2,subtipo3,subtipo4,rareza,,rareza,daños a la cara ,cuerpo,frenesí,guardián,envenenar ,interrumpir,mata una carta,curar,me descarta,predicción,roba carta,roba carta específica,perder vidas,evasión,ininterrumpible,vigía,aplastarme,aplasta,arrollar,realeza,ganar 5 vidas,acción rápida/sorpresivo,disipar,resguardo,crear ficha tesoro,hurto,descarta,muerte?,megalofobia?,daño electrico?,indestructible?,Estocada?,Invocacion,Sucubo y comandante,Veneno,flor,,,,,,,,,,,,
450,-¡APLASTARLOS A TODOS!-,,0/9,1.25,FALSE,,"Elige 2: -Destruye la unidad rival objetivo de resistencia 3 o menos. -La unidad objetivo gana Desafiante hasta el final del turno. -Destruye el arma o monumento rival objetivo. -La unidad objetivo gana +X/+0 hasta el final del turno, siendo X su fuerza.",3,FALSE,,,,,,https://i.postimg.cc/W4prWCtc/APLASTARLOS-A-TODOS-copia.webp,,,,,,,,,,,,"{'idExpansion': 6, 'nombreExpansion': 'ANCESTROS', 'fechaLanzamiento': '2024-11-19T03:36:06.000+00:00', 'visibilidad': True}","{'idTipo': 1, 'nombreTipo': 'ACCION'}",,"{'idSubTipo': 18, 'nombreSubTipo': 'GIGANTE'}",,"{'idSubTipo': 12, 'nombreSubTipo': 'RAPIDA'}",,"{'idRareza': 1, 'nombreRareza': 'PLATA'}",,"{'idRareza': 1, 'nombreRareza': 'PLATA'}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,1,2
448,-AUN NO HE ESCUCHADO LA CAMPANA-,,0/9,0,TRUE,,Regresa las cartas de unidad de fuerza 4 o más de tu Descarte al campo.,9,FALSE,,,,,,https://i.postimg.cc/mkWgq1V1/AUN-NO-HE-ESCUCHADO-LAS-CAMPANAS-copia.webp,,,,,,,,,,,,"{'idExpansion': 6, 'nombreExpansion': 'ANCESTROS', 'fechaLanzamiento': '2024-11-19T03:36:06.000+00:00', 'visibilidad': True}","{'idTipo': 1, 'nombreTipo': 'ACCION'}",,"{'idSubTipo': 14, 'nombreSubTipo': 'COMUN'}","{'idSubTipo': 18, 'nombreSubTipo': 'GIGANTE'}",,,"{'idRareza': 1, 'nombreRareza': 'PLATA'}",,"{'idRareza': 1, 'nombreRareza': 'PLATA'}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,2,3
449,-ESTE ES EL PROXIMO OBJETIVO-,,0/9,0,FALSE,,Elige hasta 2: -Destruye el arma objetivo. -Destruye el monumento objetivo. -Ganas 2 vidas.,3,FALSE,,,,,,https://i.postimg.cc/qvhWtDp0/ESTE-ES-EL-PROXIMO-OBJETIVO-copia.webp,,,,,,,,,,,,"{'idExpansion': 6, 'nombreExpansion': 'ANCESTROS', 'fechaLanzamiento': '2024-11-19T03:36:06.000+00:00', 'visibilidad': True}","{'idTipo': 1, 'nombreTipo': 'ACCION'}",,"{'idSubTipo': 14, 'nombreSubTipo': 'COMUN'}",,,,"{'idRareza': 2, 'nombreRareza': 'BRONCE'}",,"{'idRareza': 2, 'nombreRareza': 'BRONCE'}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,3,4
394,ACECHANDO EL REINO,,0/9,1,FALSE,,Roba dos cartas.,4,FALSE,,,,,¿La investigación te ha preparado para este momento? ¿O acabarás con otra excusa de por qué no conseguiste lo que buscabas?,https://i.postimg.cc/FHp6091r/ACECHANDO-EL-REINO-copia.webp,,,,,,,,,,,,"{'idExpansion': 5, 'nombreExpansion': 'IMPERIO', 'fechaLanzamiento': '2024-07-04T19:48:17.000+00:00', 'visibilidad': True}","{'idTipo': 1, 'nombreTipo': 'ACCION'}",,,,"{'idSubTipo': 12, 'nombreSubTipo': 'RAPIDA'}",,"{'idRareza': 2, 'nombreRareza': 'BRONCE'}",,"{'idRareza': 2, 'nombreRareza': 'BRONCE'}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,
13,"ADNAN, ASESINO ELITE",,7/9,1,FALSE,,"Frenesí. Temible. Siempre que esta unidad ataque, gana +1/+0 por cada desertor que controlas hasta el final del turno.",3,FALSE,,2,4,,,https://i.postimg.cc/bYQWgdT6/ADNAN-ASESINO-ELITE.webp,https://i.postimg.cc/zfnc654W/Adnan-asesino-elite-copia-75.jpg,,,,,,,,,,"El efecto para ganar +1/+1 dispara cada vez que se declare como atacante, y puede ser cancelado.","{'idExpansion': 2, 'nombreExpansion': 'FUNDAMENTOS', 'fechaLanzamiento': '2024-05-26T04:08:58.000+00:00', 'visibilidad': True}","{'idTipo': 28, 'nombreTipo': 'UNIDAD'}",,"{'idSubTipo': 6, 'nombreSubTipo': 'DESERTOR'}",,,,"{'idRareza': 1, 'nombreRareza': 'PLATA'}",,"{'idRareza': 1, 'nombreRareza': 'PLATA'}",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
21,"AFMID, LA MANO DERECHA",,4/9,1,FALSE,,Frenesí. Aparición en juego: Hace 1 punto de daño por cada desertor que controlas a la unidad objetivo.,3,FALSE,,3,3,,,https://i.postimg.cc/rFjb6b7x/AFMID-LA-MANO-DERECHA.webp,https://i.postimg.cc/Y2YsbTvY/Mesa-de-trabajo-3-200x.png,,,,,,,,,,,"{'idExpansion': 2, 'nombreExpansion': 'FUNDAMENTOS', 'fechaLanzamiento': '2024-05-26T04:08:58.000+00:00', 'visibilidad': True}","{'idTipo': 28, 'nombreTipo': 'UNIDAD'}",,"{'idSubTipo': 6, 'nombreSubTipo': 'DESERTOR'}",,,,"{'idRareza': 1, 'nombreRareza': 'PLATA'}",,"{'idRareza': 1, 'nombreRareza': 'PLATA'}",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,
307,"AFMID, LIDER ESTRATEGA",,5/9,0.5,FALSE,,"Frenesí. Aparición en juego: Por cada otra unidad alidada no ficha, crea una ficha de arma daga equipada a esa unidad.",5,FALSE,,5,3,,,https://i.postimg.cc/PxpFGYyJ/AFMID-LIDER-ESTRATEGA-copia.webp,,,,,,,,,,,,"{'idExpansion': 5, 'nombreExpansion': 'IMPERIO', 'fechaLanzamiento': '2024-07-04T19:48:17.000+00:00', 'visibilidad': True}","{'idTipo': 28, 'nombreTipo': 'UNIDAD'}",,"{'idSubTipo': 6, 'nombreSubTipo': 'DESERTOR'}",,"{'idSubTipo': 13, 'nombreSubTipo': 'REALEZA'}",,"{'idRareza': 3, 'nombreRareza': 'ORO'}",,"{'idRareza': 3, 'nombreRareza': 'ORO'}",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,
57,AGUA EN EL DESIERTO,,0/9,1,TRUE,,El jugador objetivo gana 5 vidas.,1,FALSE,,,,,"Los ancianos de Hamrra siempre cuentan la historia de que, en alguna otra época, ríos mágicos cruzaban el desierto y daban vitalidad a quienes bebían sus aguas.",https://i.postimg.cc/xTGT96f7/AGUA-EN-EL-DESIERTO-copia.jpg,https://i.postimg.cc/1XPW2cHv/AGUA-EN-EL-DESIERTO.webp,https://i.postimg.cc/Ls5hQ4wJ/agua-en-el-desierto.webp,https://i.postimg.cc/VL4fyQjn/agua-foil.jpg,https://i.postimg.cc/yx49MCDC/Arte-alternativo-Agua-en-el-desierto.webp,https://i.postimg.cc/jdd5zdfs/Full-Art-Agua-en-el-desierto-copia.jpg,,,,,,,"{'idExpansion': 3, 'nombreExpansion': 'PACTO SECRETO', 'fechaLanzamiento': '2024-05-26T04:09:09.000+00:00', 'visibilidad': True}","{'idTipo': 1, 'nombreTipo': 'ACCION'}",,,,"{'idSubTipo': 12, 'nombreSubTipo': 'RAPIDA'}",,"{'idRareza': 2, 'nombreRareza': 'BRONCE'}",,"{'idRareza': 2, 'nombreRareza': 'BRONCE'}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,
451,AGUJERO ESPACIO TEMPORAL,,0/9,1,FALSE,,"Elige hasta 2: -Condena la carta objetivo de un Descarte. -Purga la carta objetivo de un Averno. -Roba una carta, luego descarta una carta.",3,FALSE,,,,,,https://i.postimg.cc/qRS377wp/AGUJERO-ESPACIO-TEMPORAL-copia.webp,,,,,,,,,,,,"{'idExpansion': 6, 'nombreExpansion': 'ANCESTROS', 'fechaLanzamiento': '2024-11-19T03:36:06.000+00:00', 'visibilidad': True}","{'idTipo': 1, 'nombreTipo': 'ACCION'}",,,,"{'idSubTipo': 12, 'nombreSubTipo': 'RAPIDA'}",,"{'idRareza': 2, 'nombreRareza': 'BRONCE'}",,"{'idRareza': 2, 'nombreRareza': 'BRONCE'}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,
452,"AHRIMAN, LINAJE BURLESCO",,7/9,0.75,FALSE,,Agrupar. Arrollar. Frenesí. 1 de oro: Se convierte en mimético hasta el final del turno. Activa solo una vez por turno.,3,FALSE,,0,4,,,https://i.postimg.cc/8Cyvq4rJ/AHRIMAN-LINAJE-BURLESCO-copia.webp,,,,,,,,,,,"Cuando se convierte en mimético, puede utilizarse con cualquier subtipo de unidad en su habilidad de Agrupar.","{'idExpansion': 6, 'nombreExpansion': 'ANCESTROS', 'fechaLanzamiento': '2024-11-19T03:36:06.000+00:00', 'visibilidad': True}","{'idTipo': 28, 'nombreTipo': 'UNIDAD'}",,"{'idSubTipo': 19, 'nombreSubTipo': 'ENANO'}",,"{'idSubTipo': 13, 'nombreSubTipo': 'REALEZA'}",,"{'idRareza': 1, 'nombreRareza': 'PLATA'}",,"{'idRareza': 1, 'nombreRareza': 'PLATA'}",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
